"source_type";"author";"publication_year";"name";"institution";"web_url"
"Case Study";"ITDP";"2014";"Connecting Low-Income People to Opportunity with Shared Mobility";"Institute for Transportation and Development Policy (ITDP) & Living Cities";"https://www.itdp.org/wp-content/uploads/2014/10/Shared-Mobility_CASE-STUDIES.pdf"
"Online News Article";"Clinton Nguyen, Tech Insider";"2016";"Citi Bike hasn't had any fatalities in more than 3 years — here's why";"Business Insider";"http://www.businessinsider.com/why-citi-bike-has-zero-fatalities-2016-6/#the-bikes-are-slow-1"
"Website";"Citi Bike NYC";"NA";"Citi Bike: Pricing";"Citi Bike NYC";"https://www.citibikenyc.com/pricing"
"Blog";"John M.";"2015";"Citi Bike – Potholes instead of Profits";"Harvard Business School";"https://rctom.hbs.org/submission/citi-bike-potholes-instead-of-profits/"
"Website";"Citi Bike NYC";"NA";"Citi Bike: Homepage";"Citi Bike NYC";"https://www.citibikenyc.com/"
"Website";"NYCDOT";"NA";"NYCDOT: Bicyclists";"New York City Department of Transportation (NYCDOT)";"http://www.nyc.gov/html/dot/html/bicyclists/bicyclists.shtml"
"Report";"City of New York";"2011";"PlaNYC: A Greener, Greater, New York";"City of New York";"http://www.nyc.gov/html/planyc/downloads/pdf/publications/planyc_2011_planyc_full_report.pdf"
"Blog";"Todd W. Schneider";"2016";"A Tale of Twenty-Two Million Citi Bike Rides: Analyzing the NYC Bike Share System";;"http://toddwschneider.com/posts/a-tale-of-twenty-two-million-citi-bikes-analyzing-the-nyc-bike-share-system/"
"Press Release";"NYCDOT";"2014";"NYC DOT, Alta, and Citi announce agreement to expand and enhance Citi Bike program in New York City";"New York City Department of Transportation (NYCDOT)";"http://www.citigroup.com/citi/news/2014/141028b.pdf"
"Online News Article";"City of Chicago";"2015";"Divvy Announces First Ever Purchase Of Bike Share Station Located At Clark And 9th Streets In South Loop";"City of Chicago";"https://www.cityofchicago.org/city/en/depts/cdot/provdrs/bike/news/2015/august/divvy-announces-first-ever-purchase-of-bike-share-station-locate.html"
"Online News Article";"City of Chicago";"2013";"City to Launch Divvy Bike Share System This Spring";"City of Chicago";"https://www.cityofchicago.org/city/en/depts/cdot/provdrs/bike/news/2013/apr/city_to_launch_divvybikesharesystemthisspring.html"
"Website";"Chicago Complete Streets";"NA";"Request a Safe Routes or Bicycling Ambassador";"Chicago Complete Streets";"http://chicagocompletestreets.org/safety/education/"
"Online News Article";"BlueCross BlueShield of Illinois";"2014";"Mayor Emanuel, BCBSIL announce partnership to support Divvy Bike Share System";"BlueCross BlueShield of Illinois";"https://www.bcbsil.com/company-info/news/news?lid=hzbhntjs"
"Website";"City of Chicago";"NA";"Service: Awarded Contracts";"City of Chicago";"https://www.cityofchicago.org/city/en/depts/dps/provdrs/contract/svcs/awarded_contracts.html"
"Website";"Divvy Bikes";"NA";"Divvy Bikes: Homepage";"Divvy Bikes";"https://www.divvybikes.com/"
"Website";"Divvy Bikes";"NA";"Divvy Bikes: Divvy for Everyone (D4E)";"Divvy Bikes";"https://www.divvybikes.com/pricing/d4e"
"Report";"Chicago Department of Transportation";"Unknown";"Chicago Streets for Cycling Plan 2020";"Chicago Department of Transportation";"https://www.cityofchicago.org/content/dam/city/depts/cdot/bike/general/ChicagoStreetsforCycling2020.pdf"
"Website";"Hubway";"NA";"Hubway: Media Kit";"Hubway";"https://www.thehubway.com/about/media-kit"
"Website";"City of Boston";"NA";"Boston Bikes";"City of Boston";"https://www.boston.gov/departments/boston-bikes"
"Report";"Boston Department of Transportation";"2013";"Boston Bike Network Plan";"Boston Department of Transportation";"https://www.cityofboston.gov/images_documents/Boston%20Bike%20Network%20Plan,%20Fall%202013_FINAL_tcm3-40525.pdf"
"Website";"Hubway";"NA";"Hubway: Pricing";"Hubway";"https://www.thehubway.com/pricing"
"Website";"Hubway";"NA";"Hubway: Homepage";"Hubway";"https://www.thehubway.com/"
"Press Release";"City of Boston";"2011";"Mayor Menino Signs First-Ever Bike Share Contract Launching Hubway in Boston";"City of Boston";"http://www.cityofboston.gov/news/Default.aspx?id=5075"
"Website";"City of Boston";"NA";"Bikes: Network Plan";"City of Boston";"https://www.cityofboston.gov/bikes/BikeNetwork/"
"Online News Article";"Brock Parker";"2012";"Cambridge signs Hubway pact, launching bike sharing in summer";"boston.com";"http://archive.boston.com/yourtown/news/cambridge/2012/04/cambridge_signs_hubway_pact_la.html"
"Website";"Indego";"NA";"Indego: Passes";"Indego";"https://www.rideindego.com/passes/"
"Website";"Indego";"NA";"Indego: Homepage";"Indego";"https://www.rideindego.com/"
"Blog";"SEPTA";"2015";"Septa and Bike Share";"SEPTA";"http://www.septa.org/sustain/blog/2011/04.14.html"
"Blog";"Bicycle Coalition of Philadelphia";"2015";"IndeGo is Philadelphia’s Bike Share System!";"Bicycle Coalition of Philadelphia";"http://bicyclecoalition.org/indego-philadelphias-bike-share-system/#sthash.apoez6GW.H2P4KoHn.dpbs"
"Website";"Kansas City B Cycle";"NA";"Kansas City B Cycle: Our Impact";"Kansas City B Cycle";"https://kansascity.bcycle.com/about/impacts"
"Website";"Kansas City B Cycle";"NA";"Kansas City B Cycle: Homepage";"Kansas City B Cycle";"https://kansascity.bcycle.com/"
"Website";"Bike Walk KC";"NA";"Bike Walk KC: Bike Share";"Bike Walk KC";"http://bikewalkkc.org/"
"Website";"Nice Ride Minnesota";"NA";"Nice Ride Minnesota: About";"Nice Ride Minnesota";"https://www.niceridemn.org/about/"
"Online News Article";"Jaime Delage";"2016";"Nice Ride is taking off, and waiting for St. Paul to catch up";"Pioneer Press";"http://www.twincities.com/2016/04/11/nice-ride-minnesota-takes-off-waiting-for-st-paul-to-catch-up/"
