"name";"lat";"lng";"population";"iso3";"province"
"Invercargill";-46.40942951;168.3650097;37135.5;"NZL";"Southland"
"Napier";-39.4900069;176.9150305;56787;"NZL";"Gisborne"
"Manukau";-36.99997801;174.8849735;336141.5;"NZL";"Auckland"
"Hamilton";-37.77000853;175.3000386;112145;"NZL";"Auckland"
"Blenheim";-41.52099404;173.9592419;23056.5;"NZL";"Marlborough"
"Dunedin";-45.87995278;170.4799711;92438.5;"NZL";"Otago"
"Wellington";-41.29997394;174.7832743;296300;"NZL";"Manawatu-Wanganui"
"Christchurch";-43.53503131;172.6300207;295351.5;"NZL";"Canterbury"
"Auckland";-36.850013;174.7649808;759510;"NZL";"Auckland"
"Somoto";13.47599712;-86.58299659;20316;"NIC";"Madriz"
"Ocotal";13.62999605;-86.47299861;33928;"NIC";"Nueva Segovia"
"San Carlos";11.1999961;-84.83329749;13451;"NIC";"Nicaragua"
"Jinotepe";11.84599813;-86.19499748;29507;"NIC";"Carazo"
"Jinotega";13.09100402;-86.00000362;51073;"NIC";"Jinotega"
"Masaya";11.96900098;-86.09499852;130113;"NIC";"Masaya"
"San Juan del Sur";11.24999676;-85.86004114;5032;"NIC";"Nicaragua"
"Esteli";13.08998781;-86.35998478;102130.5;"NIC";"Estelí"
"Boaco";12.46997398;-85.66000167;21572;"NIC";"Boaco"
"Juigalpa";12.10999595;-85.37996708;35451;"NIC";"Chontales"
"Rivas";11.44037274;-85.8199919;31117;"NIC";"Nicaragua"
"San Juan de Nicaragua";10.92040448;-83.69999211;863;"NIC";"Nicaragua"
"Granada";11.93372764;-85.94998397;97314;"NIC";"Granada"
"Chinandega";12.63037762;-87.13004114;132705;"NIC";"Chinandega"
"Matagalpa";12.91707847;-85.91665267;106514.5;"NIC";"Matagalpa"
"Puerto Cabezas";14.03334108;-83.38337061;38318;"NIC";"Atlántico Norte"
"Leon";12.43555747;-86.87943628;154489.5;"NIC";"León"
"Bluefields";11.99997683;-83.76494938;40033;"NIC";"Atlántico Sur"
"Managua";12.15301658;-86.26849166;920000;"NIC";"Managua"
"Goure";13.98740074;10.2700085;13291.5;"NER";"Zinder"
"Gaya";11.88817486;3.446652383;29394.5;"NER";"Dosso"
"Tillaberi";14.21203819;1.453078978;13812;"NER";"Niamey"
"Ayorou";14.73179974;0.919468138;14001;"NER";"Niamey"
"Birni Nkonni";13.79043601;5.259926716;56677.5;"NER";"Tahoua"
"Madaoua";14.07618085;5.95859208;19954;"NER";"Tahoua"
"Diffa";13.31705406;12.60888383;29468;"NER";"Diffa"
"Nguigmi";14.25317263;13.11081702;15318;"NER";"Diffa"
"Dosso";13.05001609;3.200000772;46481.5;"NER";"Dosso"
"Arlit";18.81997398;7.32998124;90000;"NER";"Agadez"
"Djado";21.01498212;12.30750688;10;"NER";"Agadez"
"Maradi";13.49164288;7.096403767;198021;"NER";"Maradi"
"Tahoua";14.89998069;5.259926716;98190.5;"NER";"Tahoua"
"Zinder";13.79999615;8.983317015;210891;"NER";"Zinder"
"Niamey";13.51670595;2.116656045;828895.5;"NER";"Niamey"
"Agadez";16.99587343;7.98280961;103165.5;"NER";"Agadez"
"Umuahia";5.532003041;7.486002487;264662;"NGA";"Abia"
"Uyo";5.007996056;7.849998524;495756;"NGA";"Akwa Ibom"
"Owerri";5.492997053;7.026003588;215038;"NGA";"Imo"
"Dutse";11.7991891;9.350334607;17129;"NGA";"Jigawa"
"Damaturu";11.74899608;11.96600457;255895;"NGA";"Yobe"
"Iwo";7.629959329;4.179992634;208688.5;"NGA";"Osun"
"Iseyin";7.970016092;3.590002806;98071;"NGA";"Oyo"
"Biu";10.62042279;12.18999467;64619.5;"NGA";"Borno"
"Bama";11.5203937;13.69000647;86410;"NGA";"Borno"
"Aba";5.100397968;7.34998002;874385;"NGA";"Abia"
"Opobo";4.570404479;7.559993041;34911;"NGA";"Akwa Ibom"
"Orlu";5.783715433;7.033306843;9351;"NGA";"Imo"
"Oturkpo";7.190399596;8.129984089;68220;"NGA";"Benue"
"Calabar";4.960406513;8.330023558;354656.5;"NGA";"Cross River"
"Wukari";7.870409769;9.780012572;74380.5;"NGA";"Taraba"
"Jalingo";8.900372741;11.36001949;103773;"NGA";"Taraba"
"Kontagora";10.4003587;5.469939737;62144;"NGA";"Niger"
"Bida";9.080413431;6.01001013;172752.5;"NGA";"Niger"
"Abeokuta";7.160427265;3.350017455;441231;"NGA";"Ogun"
"Ijebu Ode";6.820448017;3.920008503;204501;"NGA";"Ogun"
